date,state,race,state_name,population,Cases,Deaths,Hosp,Tests
2020-04-12,AL,Asian,Alabama,76660,37,missing,missing,missing
2020-04-12,AL,Black,Alabama,1296162,1279,missing,missing,missing
2020-04-12,AL,Other,Alabama,137443,66,missing,missing,missing
2020-04-12,AL,Total,Alabama,5288326,3582,missing,missing,missing
2020-04-12,AL,White,Alabama,3220452,1657,missing,missing,missing
2020-04-12,AR,AIAN,Arkansas,27177,4,missing,missing,missing
2020-04-12,AR,Asian,Arkansas,51839,20,missing,missing,missing
2020-04-12,AR,Black,Arkansas,453783,324,missing,missing,missing
2020-04-12,AR,Multiracial,Arkansas,213575,3,missing,missing,missing
2020-04-12,AR,NHPI,Arkansas,14533,3,missing,missing,missing
2020-04-12,AR,Other,Arkansas,136105,35,missing,missing,missing
2020-04-12,AR,Total,Arkansas,3268371,1280,missing,missing,missing
2020-04-12,AR,White,Arkansas,2114512,814,missing,missing,missing
2020-04-12,AZ,AIAN,Arizona,319512,223,18,missing,missing
2020-04-12,AZ,Asian,Arizona,257430,61,3,missing,missing
2020-04-12,AZ,Black,Arizona,339150,65,2,missing,missing
2020-04-12,AZ,Latinx,Arizona,2192253,286,8,missing,missing
2020-04-12,AZ,Other,Arizona,899870,27,missing,missing,missing
2020-04-12,AZ,Total,Arizona,9343755,3539,114,missing,missing
2020-04-12,AZ,White,Arizona,4322337,661,28,missing,missing
2020-04-12,CA,AIAN,California,631016,27,2,missing,missing
2020-04-12,CA,Asian,California,6085947,1756,92,missing,missing
2020-04-12,CA,Black,California,2237044,945,54,missing,missing
2020-04-12,CA,Latinx,California,15579652,4729,147,missing,missing
2020-04-12,CA,NHPI,California,157263,270,4,missing,missing
2020-04-12,CA,Other,California,8370596,1216,10,missing,missing
2020-04-12,CA,Total,California,55117875,21794,651,missing,missing
2020-04-12,CA,White,California,16296122,4323,224,missing,missing
2020-04-12,CT,Asian,Connecticut,172455,124,6,missing,missing
2020-04-12,CT,Black,Connecticut,388675,993,65,missing,missing
2020-04-12,CT,Latinx,Connecticut,623293,1277,45,missing,missing
2020-04-12,CT,Other,Connecticut,299133,73,6,missing,missing
2020-04-12,CT,Total,Connecticut,4229237,11510,494,missing,missing
2020-04-12,CT,White,Connecticut,2395128,3030,343,missing,missing
2020-04-12,DC,Asian,District of Columbia,33545,26,2,missing,missing
2020-04-12,DC,Black,District of Columbia,285810,852,36,missing,missing
2020-04-12,DC,Latinx,District of Columbia,77652,missing,6,missing,missing
2020-04-12,DC,Multiracial,District of Columbia,56077,242,missing,missing,missing
2020-04-12,DC,NHPI,District of Columbia,432,6,missing,missing,missing
2020-04-12,DC,Total,District of Columbia,767197,1874,50,missing,missing
2020-04-12,DC,White,District of Columbia,273194,354,6,missing,missing
2020-04-12,DE,Other,Delaware,48509,missing,19,missing,missing
2020-04-12,DE,Total,Delaware,1094238,missing,35,missing,missing
2020-04-12,DE,White,Delaware,597763,missing,16,missing,missing
2020-04-12,GA,AIAN,Georgia,50618,9,missing,missing,missing
2020-04-12,GA,Asian,Georgia,479028,86,missing,missing,missing
2020-04-12,GA,Black,Georgia,3320513,2723,missing,missing,missing
2020-04-12,GA,Latinx,Georgia,1123457,372,missing,missing,missing
2020-04-12,GA,Multiracial,Georgia,743908,3,missing,missing,missing
2020-04-12,GA,NHPI,Georgia,7299,6,missing,missing,missing
2020-04-12,GA,Other,Georgia,555059,64,missing,missing,missing
2020-04-12,GA,Total,Georgia,11835365,12922,missing,missing,missing
2020-04-12,GA,White,Georgia,5555483,1887,missing,missing,missing
2020-04-12,IL,AIAN,Illinois,96498,24,2,missing,106
2020-04-12,IL,Asian,Illinois,754878,691,27,missing,2780
2020-04-12,IL,Black,Illinois,1808271,5458,308,missing,18691
2020-04-12,IL,Latinx,Illinois,2337410,2513,70,missing,6932
2020-04-12,IL,Multiracial,Illinois,1144984,missing,missing,missing,0
2020-04-12,IL,NHPI,Illinois,4501,28,1,missing,90
2020-04-12,IL,Other,Illinois,1135149,988,12,missing,5851
2020-04-12,IL,Total,Illinois,15149918,20852,720,missing,121587
2020-04-12,IL,White,Illinois,7868227,5214,259,missing,28794
2020-04-12,IN,Asian,Indiana,167959,55,1,missing,missing
2020-04-12,IN,Black,Indiana,648513,1331,68,missing,missing
2020-04-12,IN,Other,Indiana,261312,919,24,missing,missing
2020-04-12,IN,Total,Indiana,7339719,7928,343,missing,missing
2020-04-12,IN,White,Indiana,5241795,3734,219,missing,missing
2020-04-12,KY,AIAN,Kentucky,12801,1,missing,missing,missing
2020-04-12,KY,Asian,Kentucky,74426,34,2,missing,missing
2020-04-12,KY,Black,Kentucky,362417,159,342,missing,missing
2020-04-12,KY,Multiracial,Kentucky,244840,54,missing,missing,missing
2020-04-12,KY,Total,Kentucky,4713690,1959,1942,missing,missing
2020-04-12,KY,White,Kentucky,3711254,1123,1225,missing,missing
2020-04-12,MA,Asian,Massachusetts,507934,331,13,missing,missing
2020-04-12,MA,Black,Massachusetts,494029,1358,20,missing,missing
